datetime,level_1,0,prop
2020-03-27,politique,10.0,8.47457627118644
2020-03-27,laboratoire,2.0,1.694915254237288
2020-03-27,qanon,2.0,1.694915254237288
2020-03-27,entourage,11.0,9.322033898305085
2020-03-27,chine,6.0,5.084745762711865
2020-03-28,reseaux_sociaux,85.0,64.39393939393939
2020-03-28,virus,55.0,41.66666666666667
2020-03-28,traitement,15.0,11.363636363636363
2020-03-28,masque,3.0,2.272727272727273
2020-03-28,5g,,
2020-03-28,bilan,7.0,5.303030303030303
2020-03-28,complot,6.0,4.545454545454546
2020-03-28,experts,24.0,18.181818181818183
2020-03-28,politique,7.0,5.303030303030303
2020-03-28,laboratoire,3.0,2.272727272727273
2020-03-28,qanon,,
2020-03-28,entourage,14.0,10.606060606060606
2020-03-28,chine,9.0,6.8181818181818175
2020-03-29,reseaux_sociaux,53.0,50.476190476190474
2020-03-29,virus,45.0,42.857142857142854
2020-03-29,traitement,9.0,8.571428571428571
2020-03-29,masque,2.0,1.9047619047619049
2020-03-29,5g,,
2020-03-29,bilan,11.0,10.476190476190476
2020-03-29,complot,6.0,5.714285714285714
2020-03-29,experts,8.0,7.6190476190476195
2020-03-29,politique,7.0,6.666666666666667
2020-03-29,laboratoire,2.0,1.9047619047619049
2020-03-29,qanon,,
2020-03-29,entourage,7.0,6.666666666666667
2020-03-29,chine,17.0,16.19047619047619
2020-03-30,reseaux_sociaux,38.0,46.34146341463415
2020-03-30,virus,46.0,56.09756097560976
2020-03-30,traitement,5.0,6.097560975609756
2020-03-30,masque,2.0,2.4390243902439024
2020-03-30,5g,,
2020-03-30,bilan,8.0,9.75609756097561
2020-03-30,complot,4.0,4.878048780487805
2020-03-30,experts,2.0,2.4390243902439024
2020-03-30,politique,8.0,9.75609756097561
2020-03-30,laboratoire,3.0,3.6585365853658534
2020-03-30,qanon,1.0,1.2195121951219512
2020-03-30,entourage,6.0,7.317073170731707
2020-03-30,chine,9.0,10.975609756097562
2020-03-31,reseaux_sociaux,47.0,51.64835164835166
2020-03-31,virus,44.0,48.35164835164835
2020-03-31,traitement,7.0,7.6923076923076925
2020-03-31,masque,5.0,5.4945054945054945
2020-03-31,5g,,
2020-03-31,bilan,6.0,6.593406593406594
2020-03-31,complot,9.0,9.89010989010989
2020-03-31,experts,5.0,5.4945054945054945
2020-03-31,politique,7.0,7.6923076923076925
2020-03-31,laboratoire,1.0,1.098901098901099
2020-03-31,qanon,,
2020-03-31,entourage,9.0,9.89010989010989
2020-03-31,chine,12.0,13.186813186813188
2020-04-01,reseaux_sociaux,31.0,46.96969696969697
2020-04-01,virus,31.0,46.96969696969697
2020-04-01,traitement,10.0,15.151515151515152
2020-04-01,masque,6.0,9.090909090909092
2020-04-01,5g,,
2020-04-01,bilan,7.0,10.606060606060606
2020-04-01,complot,8.0,12.121212121212121
2020-04-01,experts,4.0,6.0606060606060606
2020-04-01,politique,9.0,13.636363636363635
2020-04-01,laboratoire,,
2020-04-01,qanon,1.0,1.5151515151515151
2020-04-01,entourage,10.0,15.151515151515152
2020-04-01,chine,10.0,15.151515151515152
2020-04-02,reseaux_sociaux,35.0,57.377049180327866
2020-04-02,virus,21.0,34.42622950819672
2020-04-02,traitement,5.0,8.19672131147541
2020-04-02,masque,11.0,18.0327868852459
2020-04-02,5g,,
2020-04-02,bilan,4.0,6.557377049180328
2020-04-02,complot,8.0,13.114754098360656
2020-04-02,experts,2.0,3.278688524590164
2020-04-02,politique,6.0,9.836065573770492
2020-04-02,laboratoire,2.0,3.278688524590164
2020-04-02,qanon,2.0,3.278688524590164
2020-04-02,entourage,10.0,16.39344262295082
2020-04-02,chine,10.0,16.39344262295082
2020-04-03,reseaux_sociaux,54.0,60.0
2020-04-03,virus,46.0,51.11111111111111
2020-04-03,traitement,7.0,7.777777777777778
2020-04-03,masque,7.0,7.777777777777778
2020-04-03,5g,,
2020-04-03,bilan,5.0,5.555555555555555
2020-04-03,complot,6.0,6.666666666666667
2020-04-03,experts,3.0,3.3333333333333335
2020-04-03,politique,9.0,10.0
2020-04-03,laboratoire,2.0,2.2222222222222223
2020-04-03,qanon,2.0,2.2222222222222223
2020-04-03,entourage,13.0,14.444444444444443
2020-04-03,chine,9.0,10.0
2020-04-04,reseaux_sociaux,33.0,51.5625
2020-04-04,virus,26.0,40.625
2020-04-04,traitement,2.0,3.125
2020-04-04,masque,4.0,6.25
2020-04-04,5g,,
2020-04-04,bilan,1.0,1.5625
2020-04-04,complot,4.0,6.25
2020-04-04,experts,3.0,4.6875
2020-04-04,politique,6.0,9.375
2020-04-04,laboratoire,,
2020-04-04,qanon,1.0,1.5625
2020-04-04,entourage,3.0,4.6875
2020-04-04,chine,9.0,14.0625
2020-04-05,reseaux_sociaux,33.0,63.46153846153846
2020-04-05,virus,23.0,44.230769230769226
2020-04-05,traitement,5.0,9.615384615384617
2020-04-05,masque,7.0,13.461538461538462
2020-04-05,5g,,
2020-04-05,bilan,1.0,1.9230769230769231
2020-04-05,complot,6.0,11.538461538461538
2020-04-05,experts,1.0,1.9230769230769231
2020-04-05,politique,6.0,11.538461538461538
2020-04-05,laboratoire,1.0,1.9230769230769231
2020-04-05,qanon,,
2020-04-05,entourage,7.0,13.461538461538462
2020-04-05,chine,9.0,17.307692307692307
2020-04-06,reseaux_sociaux,33.0,52.38095238095239
2020-04-06,virus,27.0,42.857142857142854
2020-04-06,traitement,10.0,15.873015873015872
2020-04-06,masque,6.0,9.523809523809524
2020-04-06,5g,1.0,1.5873015873015872
2020-04-06,bilan,1.0,1.5873015873015872
2020-04-06,complot,3.0,4.761904761904762
2020-04-06,experts,1.0,1.5873015873015872
2020-04-06,politique,6.0,9.523809523809524
2020-04-06,laboratoire,2.0,3.1746031746031744
2020-04-06,qanon,,
2020-04-06,entourage,7.0,11.11111111111111
2020-04-06,chine,7.0,11.11111111111111
2020-04-07,reseaux_sociaux,34.0,50.0
2020-04-07,virus,34.0,50.0
2020-04-07,traitement,5.0,7.352941176470589
2020-04-07,masque,5.0,7.352941176470589
2020-04-07,5g,2.0,2.941176470588235
2020-04-07,bilan,4.0,5.88235294117647
2020-04-07,complot,8.0,11.76470588235294
2020-04-07,experts,2.0,2.941176470588235
2020-04-07,politique,12.0,17.647058823529413
2020-04-07,laboratoire,1.0,1.4705882352941175
2020-04-07,qanon,,
2020-04-07,entourage,5.0,7.352941176470589
2020-04-07,chine,12.0,17.647058823529413
2020-04-08,reseaux_sociaux,39.0,55.714285714285715
2020-04-08,virus,27.0,38.57142857142858
2020-04-08,traitement,4.0,5.714285714285714
2020-04-08,masque,2.0,2.857142857142857
2020-04-08,5g,,
2020-04-08,bilan,1.0,1.4285714285714286
2020-04-08,complot,6.0,8.571428571428571
2020-04-08,experts,,
2020-04-08,politique,5.0,7.142857142857142
2020-04-08,laboratoire,2.0,2.857142857142857
2020-04-08,qanon,,
2020-04-08,entourage,10.0,14.285714285714285
2020-04-08,chine,8.0,11.428571428571429
2020-04-09,reseaux_sociaux,38.0,46.913580246913575
2020-04-09,virus,42.0,51.85185185185185
2020-04-09,traitement,11.0,13.580246913580247
2020-04-09,masque,2.0,2.4691358024691357
