Date,Thème,Nombre de courriels,Proportion par jour
2020-04-19,entourage,10.0,12.2
2020-04-19,Chine,7.0,8.54
2020-04-20,réseaux sociaux,43.0,59.72
2020-04-20,virus,38.0,52.78
2020-04-20,traitement,12.0,16.67
2020-04-20,masque,1.0,1.39
2020-04-20,5G,,
2020-04-20,bilan,4.0,5.56
2020-04-20,complot,5.0,6.94
2020-04-20,expert,8.0,11.11
2020-04-20,politique,7.0,9.72
2020-04-20,laboratoire,8.0,11.11
2020-04-20,QAnon,1.0,1.39
2020-04-20,entourage,7.0,9.72
2020-04-20,Chine,9.0,12.5
2020-04-21,réseaux sociaux,35.0,52.24
2020-04-21,virus,35.0,52.24
2020-04-21,traitement,7.0,10.45
2020-04-21,masque,1.0,1.49
2020-04-21,5G,1.0,1.49
2020-04-21,bilan,6.0,8.96
2020-04-21,complot,7.0,10.45
2020-04-21,expert,8.0,11.94
2020-04-21,politique,5.0,7.46
2020-04-21,laboratoire,1.0,1.49
2020-04-21,QAnon,2.0,2.99
2020-04-21,entourage,12.0,17.91
2020-04-21,Chine,8.0,11.94
2020-04-22,réseaux sociaux,44.0,55.0
2020-04-22,virus,28.0,35.0
2020-04-22,traitement,14.0,17.5
2020-04-22,masque,1.0,1.25
2020-04-22,5G,5.0,6.25
2020-04-22,bilan,6.0,7.5
2020-04-22,complot,4.0,5.0
2020-04-22,expert,6.0,7.5
2020-04-22,politique,5.0,6.25
2020-04-22,laboratoire,3.0,3.75
2020-04-22,QAnon,,
2020-04-22,entourage,9.0,11.25
2020-04-22,Chine,8.0,10.0
2020-04-23,réseaux sociaux,24.0,51.06
2020-04-23,virus,20.0,42.55
2020-04-23,traitement,5.0,10.64
2020-04-23,masque,1.0,2.13
2020-04-23,5G,,
2020-04-23,bilan,3.0,6.38
2020-04-23,complot,4.0,8.51
2020-04-23,expert,2.0,4.26
2020-04-23,politique,2.0,4.26
2020-04-23,laboratoire,,
2020-04-23,QAnon,,
2020-04-23,entourage,5.0,10.64
2020-04-23,Chine,1.0,2.13
2020-04-24,réseaux sociaux,29.0,60.42
2020-04-24,virus,25.0,52.08
2020-04-24,traitement,9.0,18.75
2020-04-24,masque,1.0,2.08
2020-04-24,5G,1.0,2.08
2020-04-24,bilan,4.0,8.33
2020-04-24,complot,6.0,12.5
2020-04-24,expert,3.0,6.25
2020-04-24,politique,9.0,18.75
2020-04-24,laboratoire,2.0,4.17
2020-04-24,QAnon,1.0,2.08
2020-04-24,entourage,5.0,10.42
2020-04-24,Chine,6.0,12.5
2020-04-25,réseaux sociaux,21.0,48.84
2020-04-25,virus,18.0,41.86
2020-04-25,traitement,5.0,11.63
2020-04-25,masque,2.0,4.65
2020-04-25,5G,1.0,2.33
2020-04-25,bilan,4.0,9.3
2020-04-25,complot,9.0,20.93
2020-04-25,expert,1.0,2.33
2020-04-25,politique,4.0,9.3
2020-04-25,laboratoire,1.0,2.33
2020-04-25,QAnon,,
2020-04-25,entourage,4.0,9.3
2020-04-25,Chine,2.0,4.65
2020-04-26,réseaux sociaux,21.0,38.18
2020-04-26,virus,28.0,50.91
2020-04-26,traitement,8.0,14.55
2020-04-26,masque,2.0,3.64
2020-04-26,5G,,
2020-04-26,bilan,4.0,7.27
2020-04-26,complot,5.0,9.09
2020-04-26,expert,1.0,1.82
2020-04-26,politique,11.0,20.0
2020-04-26,laboratoire,2.0,3.64
2020-04-26,QAnon,,
2020-04-26,entourage,6.0,10.91
2020-04-26,Chine,3.0,5.45
2020-04-27,réseaux sociaux,24.0,42.86
2020-04-27,virus,32.0,57.14
2020-04-27,traitement,10.0,17.86
2020-04-27,masque,1.0,1.79
2020-04-27,5G,1.0,1.79
2020-04-27,bilan,10.0,17.86
2020-04-27,complot,7.0,12.5
2020-04-27,expert,12.0,21.43
2020-04-27,politique,11.0,19.64
2020-04-27,laboratoire,4.0,7.14
2020-04-27,QAnon,,
2020-04-27,entourage,7.0,12.5
2020-04-27,Chine,8.0,14.29
2020-04-28,réseaux sociaux,26.0,47.27
2020-04-28,virus,30.0,54.55
2020-04-28,traitement,4.0,7.27
2020-04-28,masque,2.0,3.64
2020-04-28,5G,1.0,1.82
2020-04-28,bilan,4.0,7.27
2020-04-28,complot,4.0,7.27
2020-04-28,expert,5.0,9.09
2020-04-28,politique,9.0,16.36
2020-04-28,laboratoire,4.0,7.27
2020-04-28,QAnon,,
2020-04-28,entourage,5.0,9.09
2020-04-28,Chine,7.0,12.73
2020-04-29,réseaux sociaux,39.0,57.35
2020-04-29,virus,35.0,51.47
2020-04-29,traitement,7.0,10.29
2020-04-29,masque,2.0,2.94
2020-04-29,5G,6.0,8.82
2020-04-29,bilan,3.0,4.41
2020-04-29,complot,7.0,10.29
2020-04-29,expert,3.0,4.41
2020-04-29,politique,10.0,14.71
2020-04-29,laboratoire,2.0,2.94
2020-04-29,QAnon,,
2020-04-29,entourage,11.0,16.18
2020-04-29,Chine,3.0,4.41
2020-04-30,réseaux sociaux,28.0,48.28
2020-04-30,virus,19.0,32.76
2020-04-30,traitement,3.0,5.17
2020-04-30,masque,1.0,1.72
2020-04-30,5G,,
