,datetime,level_1,0
820,2020-05-14,complot,4
821,2020-05-14,experts,2
822,2020-05-14,politique,4
823,2020-05-14,laboratoire,0
824,2020-05-14,qanon,0
825,2020-05-15,reseaux_sociaux,10
826,2020-05-15,virus,15
827,2020-05-15,traitement,8
828,2020-05-15,masque,4
829,2020-05-15,5g,0
830,2020-05-15,bilan,7
831,2020-05-15,complot,3
832,2020-05-15,experts,2
833,2020-05-15,politique,3
834,2020-05-15,laboratoire,1
835,2020-05-15,qanon,0
836,2020-05-16,reseaux_sociaux,12
837,2020-05-16,virus,8
838,2020-05-16,traitement,3
839,2020-05-16,masque,8
840,2020-05-16,5g,1
841,2020-05-16,bilan,2
842,2020-05-16,complot,4
843,2020-05-16,experts,0
844,2020-05-16,politique,2
845,2020-05-16,laboratoire,0
846,2020-05-16,qanon,0
847,2020-05-17,reseaux_sociaux,27
848,2020-05-17,virus,17
849,2020-05-17,traitement,12
850,2020-05-17,masque,6
851,2020-05-17,5g,3
852,2020-05-17,bilan,12
853,2020-05-17,complot,4
854,2020-05-17,experts,3
855,2020-05-17,politique,5
856,2020-05-17,laboratoire,2
857,2020-05-17,qanon,0
858,2020-05-18,reseaux_sociaux,18
859,2020-05-18,virus,17
860,2020-05-18,traitement,7
861,2020-05-18,masque,5
862,2020-05-18,5g,1
863,2020-05-18,bilan,6
864,2020-05-18,complot,7
865,2020-05-18,experts,3
866,2020-05-18,politique,7
867,2020-05-18,laboratoire,1
868,2020-05-18,qanon,1
869,2020-05-19,reseaux_sociaux,13
870,2020-05-19,virus,9
871,2020-05-19,traitement,3
872,2020-05-19,masque,3
873,2020-05-19,5g,0
874,2020-05-19,bilan,3
875,2020-05-19,complot,1
876,2020-05-19,experts,1
877,2020-05-19,politique,6
878,2020-05-19,laboratoire,0
879,2020-05-19,qanon,0
880,2020-05-20,reseaux_sociaux,11
881,2020-05-20,virus,3
882,2020-05-20,traitement,2
883,2020-05-20,masque,1
884,2020-05-20,5g,0
885,2020-05-20,bilan,2
886,2020-05-20,complot,1
887,2020-05-20,experts,1
888,2020-05-20,politique,1
889,2020-05-20,laboratoire,0
890,2020-05-20,qanon,0
891,2020-05-21,reseaux_sociaux,13
892,2020-05-21,virus,12
893,2020-05-21,traitement,4
894,2020-05-21,masque,4
895,2020-05-21,5g,0
896,2020-05-21,bilan,5
897,2020-05-21,complot,5
898,2020-05-21,experts,1
899,2020-05-21,politique,5
900,2020-05-21,laboratoire,1
901,2020-05-21,qanon,0
902,2020-05-22,reseaux_sociaux,15
903,2020-05-22,virus,18
904,2020-05-22,traitement,6
905,2020-05-22,masque,5
906,2020-05-22,5g,1
907,2020-05-22,bilan,6
908,2020-05-22,complot,3
909,2020-05-22,experts,1
910,2020-05-22,politique,5
911,2020-05-22,laboratoire,0
912,2020-05-22,qanon,0
913,2020-05-23,reseaux_sociaux,10
914,2020-05-23,virus,7
