Date,Thème,Nombre de courriels,Proportion par jour
2020-08-19,laboratoire,,
2020-08-20,virus,5.0,55.56
2020-08-20,Chine,,
2020-08-20,laboratoire,,
2020-08-21,virus,4.0,44.44
2020-08-21,Chine,,
2020-08-21,laboratoire,,
2020-08-22,virus,4.0,36.36
2020-08-22,Chine,,
2020-08-22,laboratoire,,
2020-08-23,virus,6.0,37.5
2020-08-23,Chine,,
2020-08-23,laboratoire,,
2020-08-24,virus,5.0,41.67
2020-08-24,Chine,1.0,8.33
2020-08-24,laboratoire,,
2020-08-25,virus,2.0,20.0
2020-08-25,Chine,,
2020-08-25,laboratoire,,
2020-08-26,virus,1.0,7.69
2020-08-26,Chine,,
2020-08-26,laboratoire,,
2020-08-27,virus,2.0,40.0
2020-08-27,Chine,,
2020-08-27,laboratoire,,
2020-08-28,virus,,
2020-08-28,Chine,,
2020-08-28,laboratoire,,
2020-08-29,virus,5.0,38.46
2020-08-29,Chine,,
2020-08-29,laboratoire,1.0,7.69
2020-08-30,virus,1.0,50.0
2020-08-30,Chine,,
2020-08-30,laboratoire,,
2020-08-31,virus,3.0,75.0
2020-08-31,Chine,,
2020-08-31,laboratoire,,
